pointA,pointB,relation
6.1,6.2,pre
6.2,6.3,pre
6.3,6.4,pre
6.4,6.5,pre
6.5,6.6,pre
6.6,6.7,pre
6.7,6.8,pre
6.8,6.7,post
6.7,6.6,post
6.6,6.5,post
6.5,6.4,post
6.4,6.3,post
6.3,6.2,post
6.2,6.1,post
6,6.1,parent
6,6.2,parent
6,6.3,parent
6,6.4,parent
6,6.5,parent
6,6.6,parent
6,6.7,parent
6,6.8,parent
6.6,6.6.1,parent
6.6,6.6.2,parent
6.6,6.6.3,parent
6.6,6.6.4,parent
6.1,6.6.1,pre
6.2,6.6.1,pre
6.6.1,6.6.2,pre
6.6.2,6.6.3,pre
6.6.3,6.6.4,pre
6.6.2,6.6.1,post
6.6.3,6.6.2,post
6.6.4,6.6.3,post
6.7,6.6.4,post
6.7.2,6.7.1,post
6.7.3,6.7.2,post
6.7.4,6.7.3,post
6.1,6.7.1,pre
6.6,6.7.1,pre
6.7.1,6.7.2,pre
6.7.2,6.7.3,pre
6.7.3,6.7.4,pre
6.7,6.7.1,parent
6.7,6.7.2,parent
6.7,6.7.3,parent
6.7,6.7.4,parent
6.8.2,6.8.1,post
6.8.3,6.8.2,post
6.8.4,6.8.3,post
6.1,6.8.1,pre
6.7,6.8.1,pre
6.8.1,6.8.2,pre
6.8.2,6.8.3,pre
6.8.3,6.8.4,pre
6.8,6.8.1,parent
6.8,6.8.2,parent
6.8,6.8.3,parent
6.8,6.8.4,parent
6.5.2,6.5.1,post
6.5.3,6.5.2,post
6.5.4,6.5.3,post
6.1,6.5.1,pre
6.4,6.5.1,pre
6.5.1,6.5.2,pre
6.5.2,6.5.3,pre
6.5.3,6.5.4,pre
6.5,6.5.1,parent
6.5,6.5.2,parent
6.5,6.5.3,parent
6.5,6.5.4,parent
6.4.2,6.4.1,post
6.4.3,6.4.2,post
6.4.4,6.4.3,post
6.5,6.4.4,post
6.1,6.4.1,pre
6.3,6.4.1,pre
6.4.1,6.4.2,pre
6.4.2,6.4.3,pre
6.4.3,6.4.4,pre
6.4,6.4.1,parent
6.4,6.4.2,parent
6.4,6.4.3,parent
6.4,6.4.4,parent
6.3.2,6.3.1,post
6.3.3,6.3.2,post
6.3.4,6.3.3,post
6.4,6.3.4,post
6.1,6.3.1,pre
6.2,6.3.1,pre
6.3.1,6.3.2,pre
6.3.2,6.3.3,pre
6.3.3,6.3.4,pre
6.3,6.3.1,parent
6.3,6.3.2,parent
6.3,6.3.3,parent
6.3,6.3.4,parent
6.2.3,6.2.2,post
6.2.4,6.2.3,post
6.3,6.2.4,post
6.1,6.2.1,pre
6.2.1,6.2.2,pre
6.2.2,6.2.3,pre
6.2.3,6.2.4,pre
6.2,6.2.1,parent
6.2,6.2.2,parent
6.2,6.2.3,parent
6.2,6.2.4,parent
6.2.2,6.2.1,post
